index,latitude,longitude,chi,elevation,flow distance,drainage area,m_chi,b_chi,source_key,basin_key,segmented_elevation,segment_number,Geology,GeoCode
28062,47.0245303,26.4404231,14.983,392.0,314600.0,154510000.0,34.198,-120.36,711,4,392.02,1184,bd,29.0
28065,47.0221065,26.4416323,14.919,390.0,314290.0,154810000.0,32.94,-100.59,711,4,390.86,1185,bd,29.0
28066,47.0221123,26.4428162,14.901,390.0,314200.0,154810000.0,32.94,-100.59,711,4,390.25,1185,bd,29.0
28067,47.0221181,26.4440004,14.882,389.0,314110.0,173190000.0,32.94,-100.59,711,4,389.64,1185,bd,29.0
28068,47.0213082,26.4440088,14.865,389.0,314020.0,173200000.0,32.94,-100.59,711,4,389.06,1185,bd,29.0
28069,47.0204984,26.4440172,14.847,388.0,313930.0,173250000.0,32.94,-100.59,711,4,388.47,1185,bd,29.0
28070,47.0196943,26.4452098,14.822,388.0,313800.0,173910000.0,32.94,-100.59,711,4,387.65,1185,bd,29.0
28071,47.0188902,26.446402,14.797,387.0,313670.0,173930000.0,32.94,-100.59,711,4,386.83,1185,bd,29.0
28072,47.0188959,26.4475858,14.779,386.0,313580.0,174460000.0,32.94,-100.59,711,4,386.25,1185,bd,29.0
28073,47.0189016,26.4487699,14.762,384.0,313490.0,174500000.0,32.94,-100.59,711,4,385.67,1185,bd,29.0
28074,47.0180962,26.4487782,14.744,384.0,313400.0,174540000.0,32.94,-100.59,711,4,385.09,1185,bd,29.0
28075,47.0172921,26.4499707,14.719,384.0,313280.0,174600000.0,32.94,-100.59,711,4,384.27,1185,bd,29.0
28076,47.0172977,26.4511544,14.702,384.0,313190.0,176240000.0,32.94,-100.59,711,4,383.69,1185,bd,29.0
28077,47.0164936,26.4523464,14.677,383.0,313060.0,176260000.0,32.94,-100.59,711,4,382.88,1185,bd,29.0
28078,47.0164992,26.4535306,14.66,383.0,312970.0,176630000.0,32.94,-100.59,711,4,382.3,1185,bd,29.0
28079,47.015695,26.4547229,14.635,382.0,312840.0,176640000.0,32.94,-100.59,711,4,381.48,1185,bd,29.0
28080,47.0148852,26.4547312,14.617,382.0,312750.0,176650000.0,32.94,-100.59,711,4,380.91,1185,bd,29.0
28081,47.0140809,26.4559231,14.593,380.0,312630.0,176760000.0,32.94,-100.59,711,4,380.09,1185,bd,29.0
28082,47.0132711,26.4559313,14.575,379.0,312540.0,177060000.0,32.94,-100.59,711,4,379.52,1185,bd,29.0
28083,47.0124612,26.4559395,14.558,379.0,312450.0,177070000.0,32.94,-100.59,711,4,378.94,1185,bd,29.0
28084,47.0116514,26.4559477,14.54,377.0,312360.0,177460000.0,32.94,-100.59,711,4,378.37,1185,bd,29.0
28085,47.0108472,26.4571396,14.515,377.0,312230.0,177600000.0,32.94,-100.59,711,4,377.55,1185,bd,29.0
28086,47.0100429,26.4583317,14.491,377.0,312100.0,177620000.0,32.94,-100.59,711,4,376.74,1185,bd,29.0
28087,47.0092331,26.4583399,14.473,377.0,312010.0,177640000.0,32.94,-100.59,711,4,376.16,1185,bd,29.0
28088,47.0084232,26.4583481,14.456,377.0,311920.0,177680000.0,32.94,-100.59,711,4,375.59,1185,bd,29.0
28089,47.007619,26.4595402,14.431,375.0,311790.0,177960000.0,32.94,-100.59,711,4,374.78,1185,bd,29.0
28090,47.0068091,26.4595484,14.414,374.0,311700.0,178130000.0,32.94,-100.59,711,4,374.2,1185,bd,29.0
28091,47.0059993,26.4595566,14.396,373.0,311610.0,178210000.0,32.94,-100.59,711,4,373.63,1185,bd,29.0
